Market,Year,KPI,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ALL,2024,Cross Brand Plus,12901,28433,53092,82154,112102,151156,184696,214285,239457,265080,297436,332643
ALL,2024,New Brand Adopters,47709,80670,121218,160779,192445,229336,259026,284348,301426,316803,335134,354267
ALL,2024,New Members,69969,130753,201057,268373,331792,408988,476660,535909,588303,647342,716306,790010
ALL,2024,Redeeming Members,30259,51091,75064,98493,120852,145156,164490,180666,194908,208800,225811,245591
ALL,2024,Returning Members,124827,204070,292828,372277,432333,496297,544898,583416,609389,631682,657126,682066
ALL,2024,Sales Penetration,0.590708327,0.587289463,0.591989301,0.593793891,0.597363289,0.607683228,0.613538299,0.616530015,0.616817732,0.616037229,0.613791703,0.611339657
ALL,2024,Total Sales,54326528.8,101420958.5,162433414.3,222922979.7,276780072.4,338235934.2,389869584.1,436675198.9,480585916.5,529034519,586980189,650565524.5
ALL,2024,Transacting Members,194796,334823,493885,640650,764125,905285,1021558,1119325,1197692,1279024,1373432,1472076
KSA,2024,Cross Brand Plus,4505,10550,21677,35308,48305,64882,79339,92491,104149,115659,130277,145073
KSA,2024,New Brand Adopters,20401,35742,57261,77928,92484,109694,123216,134708,142672,149704,158288,166749
KSA,2024,New Members,30959,61312,100705,137699,169673,211688,246605,277416,305282,334990,369088,403178
KSA,2024,Redeeming Members,13345,23451,35459,47386,58271,69955,79904,88550,96467,103779,112707,122869
KSA,2024,Returning Members,53449,91563,138912,181363,209804,241450,264906,284310,297934,309146,321976,333787
KSA,2024,Sales Penetration,0.693629996,0.694775739,0.683000077,0.66962866,0.671781343,0.679864585,0.687738015,0.694173588,0.695842094,0.699097872,0.698796022,0.69827811
KSA,2024,Total Sales,15966976.68,31749352.16,54814987.42,77906518.63,95340535.32,116072569.8,134143927.2,151425881,167165365,183106614.1,201792429.6,220347921.4
KSA,2024,Transacting Members,84408,152875,239617,319062,379477,453138,511511,561726,603216,644136,691064,736965
UAE,2024,Cross Brand Plus,6824,14074,24538,36047,48850,65501,79840,91795,101441,111917,124900,140628
UAE,2024,New Brand Adopters,18120,30131,43878,56930,69065,83186,94732,104239,110698,116861,123897,132046
UAE,2024,New Members,34796,61438,87882,112658,138094,167641,195495,219196,239628,264098,293377,327796
UAE,2024,Redeeming Members,13409,22040,31853,40951,50126,60512,68505,74854,80196,85620,92458,100742
UAE,2024,Returning Members,49852,78545,108798,134266,156584,179601,197495,210511,219235,227345,236518,246628
UAE,2024,Sales Penetration,0.516127519,0.512110077,0.51959188,0.524589272,0.530201899,0.541749943,0.547807638,0.549181921,0.54921083,0.547406335,0.545412082,0.543715539
UAE,2024,Total Sales,31351610.93,57570194.01,89062408.28,119148608.7,149145793.2,182143702,209932051.2,233866544.6,257223918.4,284566487.1,317426176,355719258.9
UAE,2024,Transacting Members,84648,139983,196680,246924,294678,347242,392990,429707,458863,491443,529895,574424
ALL,2025,Cross Brand Plus,12132,28242,60660,83363,116838,151759,185928,215907,241170,266409,298312.3968,330726.1104
ALL,2025,New Brand Adopters,39992,71175,120142,147650,182793,216344,244498,267456,285092,302268,322465.5312,342192.8916
ALL,2025,New Members,72307,130978,225054,280363,352591,421668,493571,556296,610477,665083,730702,798550
ALL,2025,Redeeming Members,28618,49163,78995,96498,121265,144233,164709,180405,194654,207511,223169.312,236276.0442
ALL,2025,Returning Members,119524,200772,318152,375325,445488,507506,555360,592794,622281,649844,681762,710237
ALL,2025,Sales Penetration,0.603394399,0.610318095,0.625490124,0.624496415,0.630188906,0.636256249,0.639191042,0.637885425,0.636759947,0.633983769,0.6302,0.627
ALL,2025,Total Sales,58980534.84,112402183.7,198573517.7,251033494.6,317313971.1,380734388,439055983.3,492317561.1,542617822.1,598438015.1,664192639,733108157
ALL,2025,Transacting Members,191831,331750,543206,655688,798079,929174,1048931,1149090,1232758,1314927,1412464,1508787
KSA,2025,Cross Brand Plus,4431,10801,27806,36719,51262,66731,82115,95293,107181,118801,133559.118,146773.554
KSA,2025,New Brand Adopters,18281,33067,63105,75016,91864,107895,121225,131620,140311,148741,158555.232,166980.372
KSA,2025,New Members,35556,66548,131162,156029,194068,232250,271858,305494,334894,362953,395948,426480
KSA,2025,Redeeming Members,14740,25355,42622,50553,62607,73938,84244,92235,100209,107586,116254.116,122572.365
KSA,2025,Returning Members,53360,92631,164432,189385,223761,254790,278711,297344,312878,327244,343582,356730
